City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,reyes,-14.3167,-67.3833,296.96,84,99,1.36,BO,1683754458
352,kingston,17.997,-76.7936,305.51,67,20,11.32,JM,1683754319
353,as sulayyil,20.4607,45.5779,302.29,15,0,3.58,SA,1683754461
354,sabang,5.8933,95.3214,301.47,73,100,3.45,ID,1683754462
355,cronulla,-34.05,151.15,285.89,87,40,4.12,AU,1683754464
356,marquette,46.5333,-87.6335,293.84,68,100,0.86,US,1683754465
357,talcahuano,-36.7167,-73.1167,287.97,77,0,3.09,CL,1683754466
358,qarah bagh,34.9402,61.7759,291.87,36,82,2.28,AF,1683754467
359,'ali al gharbi,32.4633,46.6864,300.82,22,43,4.39,IQ,1683754468
360,lompoc,34.6391,-120.4579,296.31,65,20,12.07,US,1683754317
361,masterton,-40.9597,175.6575,282.53,94,79,3.34,NZ,1683754471
362,tolanaro,-25.0319,46.9987,295.19,88,40,4.12,MG,1683754472
363,muang phonsavan,19.45,103.2167,291.76,99,100,0.67,LA,1683754473
